date,open,high,low,close,Volume USDT,fng_value
2021-10-22 04:00:00,63237.90000000,63303.50000000,62853.80000000,63038.00000000,68867710.33570640,75
2021-10-22 05:00:00,63038.00000000,63184.56000000,62780.00000000,63013.04000000,80723249.77347270,75
2021-10-22 06:00:00,63013.04000000,63209.75000000,62464.60000000,62724.00000000,97823265.28479860,75
2021-10-22 07:00:00,62723.99000000,63408.85000000,62604.36000000,63371.33000000,129276909.37800730,75
2021-10-22 08:00:00,63371.33000000,63640.93000000,63248.42000000,63569.55000000,120308998.27762950,75
2021-10-22 09:00:00,63569.56000000,63732.39000000,63156.00000000,63290.28000000,108530227.16794530,75
2021-10-22 10:00:00,63290.29000000,63335.30000000,62874.71000000,63186.07000000,77697195.72403170,75
2021-10-22 11:00:00,63186.06000000,63454.72000000,63166.49000000,63376.80000000,66866542.64114010,75
2021-10-22 12:00:00,63376.81000000,63652.58000000,63131.19000000,63641.97000000,80941974.13683130,75
2021-10-22 13:00:00,63641.98000000,63709.50000000,62320.00000000,62415.99000000,173363200.47423680,75
2021-10-22 14:00:00,62416.00000000,62447.87000000,61111.00000000,61571.98000000,403658302.94912550,75
2021-10-22 15:00:00,61571.99000000,61716.91000000,60478.10000000,60690.94000000,325912232.82263120,75
2021-10-22 16:00:00,60690.94000000,61390.07000000,60000.00000000,61154.70000000,366149252.03184610,75
2021-10-22 17:00:00,61154.71000000,61299.00000000,60482.01000000,60576.03000000,128321592.37782230,75
2021-10-22 18:00:00,60576.02000000,60900.00000000,60213.63000000,60638.65000000,109871130.96580870,75
2021-10-22 19:00:00,60638.66000000,61050.01000000,60335.01000000,61032.70000000,87225285.90718560,75
2021-10-22 20:00:00,61032.71000000,61240.00000000,60697.95000000,60731.48000000,101662346.91133680,75
2021-10-22 21:00:00,60731.48000000,60986.89000000,60129.63000000,60404.07000000,74419386.17939160,75
2021-10-22 22:00:00,60404.07000000,60825.52000000,60310.00000000,60639.15000000,50317454.06020220,75
2021-10-22 23:00:00,60639.15000000,60889.59000000,60614.00000000,60688.22000000,33283650.36159030,75
2021-10-23 00:00:00,60688.23000000,61175.00000000,60358.00000000,61172.88000000,79196813.17693420,74
2021-10-23 01:00:00,61174.99000000,61239.55000000,60855.76000000,61029.13000000,47959273.84538470,74
2021-10-23 02:00:00,61029.13000000,61247.55000000,60977.44000000,61134.91000000,46601685.31781450,74
2021-10-23 03:00:00,61134.91000000,61258.43000000,61023.73000000,61236.52000000,33838889.39410180,74
2021-10-23 04:00:00,61236.52000000,61567.11000000,61020.01000000,61153.51000000,86963216.59898220,74
2021-10-23 05:00:00,61153.52000000,61250.14000000,60862.06000000,60990.00000000,45015292.88427670,74
2021-10-23 06:00:00,60990.00000000,61097.49000000,60750.00000000,61047.63000000,37479172.61909760,74
2021-10-23 07:00:00,61047.63000000,61099.52000000,60705.00000000,60880.00000000,50999859.76575790,74
